,T,TM,Tm,H,PP,VV,V,VM,PM2.5
0,21,27.6,14.6,61,0,6,2.2,3.5,284.79583333333335
1,21.6,27.7,17,59,0,6.8,2,3.5,219.72083333333333
2,22.3,29,16.1,48,0,6.9,2.8,3.5,182.1875
3,,,,,,,,,115.28749999999998
4,,,,,,,,,0.0
5,,,,,,,,,12.379166666666668
6,20.9,29,16,66,0,5.5,2.2,3.5,154.03750000000002
7,20.9,27.8,16,62,0,6.3,3,5.4,223.20833333333334
8,21,28.5,15,58,0,6.8,3,5.4,200.64583333333337
9,,,,,,,,,154.875
10,,,,,,,,,129.38749999999996
11,,,,,,,,,224.2458333333333
12,21.2,28,16.9,66,0,5.5,2.2,3.5,285.22499999999997
13,20.7,28.3,17.2,61,0,6.3,2.2,3.5,236.82499999999996
14,20.7,27.2,15.5,61,0,6.3,3.3,5.4,276.90833333333336
15,,,,,,,,,245.65
16,,,,,,,,,218.67083333333326
17,,,,,,,,,47.82500000000001
18,20.4,28.2,15.8,64,0,6.3,2.8,7.6,108.0
19,21.7,27.6,15.3,64,0,6.3,3.5,5.4,107.625
20,21.7,28.9,18.5,68,0,6.3,5.2,11.1,125.89166666666667
21,,,,,,,,,179.3083333333333
22,,,,,,,,,239.85
23,,,,,,,,,220.1916666666667
24,22.6,30.3,16.7,52,0,6.3,3.1,5.4,181.01250000000005
25,21.9,29.2,18.3,75,-,4,3.7,7.6,152.55416666666667
26,22.1,26,19.7,79,0.25,6.3,3.5,5.4,152.32083333333335
27,,,,,,,,,171.42916666666665
28,,,,,,,,,251.375
29,,,,,,,,,251.82916666666668
30,23.9,31.7,18.2,54,0,6.9,2.8,7.6,319.7375
31,23.1,32,16,46,0,6.9,3.3,3.5,332.7083333333333
32,23.5,31.5,16.4,40,0,7.7,3.1,3.5,279.59999999999997
33,22.7,31.7,16.7,50,0,6.9,3.1,5.4,179.11666666666667
34,,,,,,,,,166.29999999999998
35,,,,,,,,,78.25416666666666
36,,,,,,,,,54.958333333333336
37,23.9,30.9,16.1,36,0,6.9,3.1,5.4,54.791666666666664
38,23.8,32.2,16.6,37,0,6.3,3,7.6,93.375
39,23.4,32,15.8,35,0,6.9,3.1,5.4,103.0
40,,,,,,,,,211.125
41,,,,,,,,,192.29166666666666
42,,,,,,,,,152.0
43,22.1,29.6,15.8,54,0,6.9,4.3,5.4,132.20833333333334
44,22.6,28.8,17.4,61,0,6.3,3.5,5.4,127.70833333333333
45,23.1,29,17.3,45,0,6.9,3.9,5.4,109.33333333333333
46,,,,,,,,,0.0
47,,,,,,,,,0.0
48,,,,,,,,,0.0
49,23.7,31.2,16.8,42,0,6.9,1.5,5.4,56.458333333333336
50,24.6,31.8,17.7,38,0,6.3,1.9,3.5,135.83333333333334
51,25.9,33.4,19.3,41,0,6.3,2.4,5.4,122.5
52,,,,,,,,,119.33333333333333
53,,,,,,,,,67.125
54,,,,,,,,,46.708333333333336
55,26.7,35.5,19,31,0,5.5,1.9,3.5,69.66666666666667
56,25.8,34.9,20,41,0,6.9,3.3,5.4,79.83333333333333
57,24.3,33.3,19.1,36,0,6.9,4.3,9.4,62.708333333333336
58,,,,,,,,,81.04166666666667
59,24.2,32.5,16.9,29,0,6.9,3.3,7.6,21.208333333333332
60,24.4,32,15.7,33,0,6.9,3.9,5.4,1.9166666666666667
61,25.8,32,18.2,43,0,6.9,3,5.4,1.8333333333333333
62,,,,,,,,,1.7916666666666667
63,,,,,,,,,31.625
64,,,,,,,,,112.08333333333333
65,26.2,33.1,21.5,60,-,6.9,3,5.4,105.83333333333333
66,25.6,33.8,21.1,62,36.83,6.9,0.4,3.5,117.58333333333333
67,26.7,32.5,21.2,54,0,6.9,2.8,5.4,122.70833333333333
68,,,,,,,,,76.54166666666667
69,,,,,,,,,159.08333333333334
70,,,,,,,,,147.95833333333334
71,26.6,34.3,22.2,57,-,6.9,3.3,3.5,111.95833333333333
72,25.2,34,22,67,2.54,6.9,3.1,5.4,59.208333333333336
73,25.3,30.4,20.8,57,0,6.9,3.9,7.6,77.20833333333333
74,,,,,,,,,87.83333333333333
75,,,,,,,,,90.04166666666667
76,,,,,,,,,63.916666666666664
77,28,35,22.4,45,0,6.9,3.1,5.4,98.70833333333333
78,28,36,23.2,48,0,6.9,3,5.4,123.70833333333333
79,27.4,34.8,22.4,49,0,6.9,2.4,3.5,64.79166666666667
80,,,,,,,,,62.875
81,,,,,,,,,88.375
82,,,,,,,,,77.66666666666667
83,28.1,35.6,20.6,25,0,6.9,1.9,3.5,52.333333333333336
84,28.6,37.2,21.6,28,0,6.9,2.8,5.4,52.041666666666664
85,28.3,36.1,21.2,28,0,6.9,2.4,5.4,128.33333333333334
86,,,,,,,,,87.58333333333333
87,,,,,,,,,2.9166666666666665
88,,,,,,,,,0.0
89,29.2,35.4,22.1,30,0,6.9,2.8,5.4,0.0
90,28.6,35.8,22.5,34,0,6.9,2.8,5.4,23.208333333333332
91,28.9,36.3,21.9,40,0,6.9,3.1,3.5,15.166666666666666
92,29.4,35.6,23.5,39,0,6.9,3.9,5.4,21.25
93,,,,,,,,,25.75
94,,,,,,,,,52.416666666666664
95,,,,,,,,,89.0
96,28.6,35.5,22.5,49,0.51,6.9,3,5.4,81.83333333333333
97,30.1,36,24.5,39,0,6.9,3.5,5.4,105.33333333333333
98,29.4,36.5,24.4,43,0,8.5,3.5,3.5,117.75
99,,,,,,,,,20.791666666666668
100,,,,,,,,,64.79166666666667
101,,,,,,,,,87.375
102,29.3,37,24,31,0,6.9,1.9,3.5,84.5
103,28.8,36.5,23.2,36,0,6.9,4.1,7.6,46.916666666666664
104,29,35.6,22.6,38,0,6.9,3.9,5.4,104.625
105,,,,,,,,,109.625
106,,,,,,,,,63.458333333333336
107,,,,,,,,,77.04166666666667
108,28.9,35.6,23.5,53,0,6.9,4.1,5.4,110.875
109,26.6,35.7,23,65,0,6.9,4.3,7.6,42.958333333333336
110,26.9,35.2,21.7,60,1.02,6.3,4.4,5.4,0.0
111,,,,,,,,,30.875
112,,,,,,,,,75.58333333333333
113,,,,,,,,,106.95833333333333
114,27.5,37,22.6,53,-,6.9,4.8,7.6,120.875
115,28.7,37,22.5,47,1.02,6.9,1.3,3.5,79.91666666666667
116,29.1,35.6,24,48,0,6.9,3,5.4,0.0
117,,,,,,,,,0.0
118,,,,,,,,,0.0
119,,,,,,,,,38.5
120,26.8,35.6,20.5,48,0,6.9,3.9,9.4,94.75
121,27.6,35.1,22.3,49,0,6.9,3.3,7.6,142.5
122,28.2,34.2,23.3,51,0,6.9,2.8,3.5,133.375
123,,,,,,,,,102.41666666666667
124,,,,,,,,,101.75
125,,,,,,,,,117.95833333333333
126,27.3,36.6,21,55,-,6.3,3.1,7.6,147.83333333333334
127,26.9,37,20.8,59,0,6.9,2.8,3.5,158.29166666666666
128,26,33.2,22.5,67,-,6.9,3.1,7.6,149.58333333333334
129,,,,,,,,,107.29166666666667
130,,,,,,,,,96.25
131,,,,,,,,,76.25
132,28.1,33,23.7,60,0,6.9,2,5.4,101.5
133,27.1,33.8,22.5,63,0,6.9,5,7.6,106.5
134,27.1,35,21.8,58,2.54,6.3,6.9,18.3,128.125
135,,,,,,,,,108.0
136,,,,,,,,,125.625
137,,,,,,,,,137.16666666666666
138,26.2,35.5,19.4,67,20.07,6.9,4.3,7.6,101.95833333333333
139,26.8,33.7,20.2,61,0,6.9,4.8,9.4,98.41666666666667
140,26.1,35.1,19.9,70,40.89,6.9,4.6,7.6,94.375
141,,,,,,,,,118.5
142,,,,,,,,,89.54166666666667
143,,,,,,,,,87.25
144,27.6,34,21.9,67,0,8.5,4.3,7.6,107.625
145,26.2,33.3,21,75,0,6.9,6.1,9.4,110.41666666666667
146,23.1,33.1,20,84,83.31,6.3,5,7.6,95.83333333333333
147,,,,,,,,,93.5
148,,,,,,,,,97.625
149,,,,,,,,,76.95833333333333
150,24.9,31.2,20.8,74,0.51,6.9,6.3,9.4,72.25
151,26.1,31.5,20.8,69,0,6.9,4.4,5.4,38.666666666666664
152,26.4,32.1,21.8,70,0,6.9,6.3,9.4,45.375
153,25.7,32.4,22,70,0,6.9,6.3,7.6,65.16666666666667
154,,,,,,,,,67.08333333333333
155,,,,,,,,,80.04166666666667
156,,,,,,,,,74.16666666666667
157,23.9,31.2,22,71,-,6.9,7.4,9.4,66.08333333333333
158,25,29.6,21.5,67,0,6.9,7.4,9.4,77.66666666666667
159,23.4,29.6,21.1,77,0,6.9,8.1,14.8,70.25
160,,,,,,,,,75.125
161,,,,,,,,,37.166666666666664
162,,,,,,,,,57.375
163,24.2,27.5,20.7,78,1.02,6.9,7.2,9.4,56.291666666666664
164,25.8,29.7,22,66,1.02,6.9,7.4,11.1,77.0
165,25.1,31.2,21.5,67,0,6.9,7,9.4,32.958333333333336
166,,,,,,,,,40.833333333333336
167,,,,,,,,,42.541666666666664
168,,,,,,,,,93.08333333333333
169,23.4,29,20,76,3.56,6.9,5.2,9.4,80.625
170,24.2,28,21,83,0,6.9,5.7,7.6,90.70833333333333
171,24.6,29,20.8,75,0.25,6.9,7.8,9.4,97.29166666666667
172,,,,,,,,,79.83333333333333
173,,,,,,,,,87.75
174,,,,,,,,,63.5
175,23.8,29.4,20.6,77,-,6.9,8.9,14.8,50.708333333333336
176,24.2,29,20.4,71,0,7.4,11.9,18.3,40.375
177,23.6,29.5,20.4,73,361.19,7.4,10.9,14.8,49.416666666666664
178,,,,,,,,,43.666666666666664
179,,,,,,,,,52.166666666666664
180,,,,,,,,,49.583333333333336
181,24.6,29,19.3,69,-,6.9,8,11.1,61.875
182,25.2,29.7,20.5,66,0,6.9,7.2,11.1,0.0
183,23.8,29.9,20.9,76,-,6.9,7.6,14.8,29.666666666666668
184,,,,,,,,,47.75
185,,,,,,,,,37.708333333333336
186,,,,,,,,,33.083333333333336
187,23.2,29.3,20.5,79,6.1,6.9,3.9,5.4,49.125
188,23.2,27.4,20.4,78,2.54,6.9,4.4,7.6,43.666666666666664
189,24.4,28.2,20.2,68,0,6.9,5,9.4,29.833333333333332
190,,,,,,,,,29.666666666666668
191,,,,,,,,,56.708333333333336
192,,,,,,,,,39.25
193,22.9,28.5,20,75,1.52,7.4,7.6,51.9,35.208333333333336
194,22.9,27,20,73,0,6.9,9.4,14.8,37.625
195,22.2,27.2,20.2,80,-,6.9,11.1,14.8,41.458333333333336
196,,,,,,,,,53.125
197,,,,,,,,,54.875
198,,,,,,,,,65.75
199,22.2,26.6,20.6,87,-,6.9,10.2,14.8,38.583333333333336
200,23.5,26.7,20.6,66,9.4,6.9,9.1,11.1,36.0
201,23.8,28.7,19.7,74,0.76,6.9,8.1,11.1,70.58333333333333
202,,,,,,,,,52.458333333333336
203,,,,,,,,,36.583333333333336
204,,,,,,,,,45.583333333333336
205,25.2,30.3,20.5,65,-,6.9,7.2,9.4,33.166666666666664
206,25.4,30.5,20.5,64,0,6.9,9.1,14.8,38.25
207,24.4,30.2,20.5,71,-,6.9,8.3,14.8,26.583333333333332
208,,,,,,,,,57.583333333333336
209,,,,,,,,,30.708333333333332
210,,,,,,,,,35.375
211,24.9,30.7,22,75,1.27,5.8,3,7.6,15.416666666666666
212,25.2,30.5,21.4,67,8.38,6.9,4.8,11.1,41.375
213,25,31.5,21.6,69,1.78,6.9,5.7,9.4,25.541666666666668
214,24.3,31.2,20.3,72,0,6.9,8.9,14.8,28.375
215,,,,,,,,,40.333333333333336
216,,,,,,,,,39.333333333333336
217,,,,,,,,,41.833333333333336
218,25.7,30.2,21.2,65,0,6.3,7.2,11.1,50.333333333333336
219,25.8,31.2,22,66,-,6.9,5,14.8,35.375
220,23.8,31.3,21.5,79,1.02,6.9,5.6,11.1,31.916666666666668
221,,,,,,,,,36.791666666666664
222,,,,,,,,,33.291666666666664
223,,,,,,,,,35.5
224,23.3,27.6,21.2,75,0,6.3,2.8,5.4,35.291666666666664
225,24.8,27.6,21.6,67,0,6.9,1.9,5.4,26.833333333333332
226,22.3,28.3,19.2,84,128.78,6.9,2.2,7.6,21.125
227,,,,,,,,,18.0
228,,,,,,,,,28.041666666666668
229,,,,,,,,,34.875
230,22.6,28.9,20.3,84,5.33,6.3,6.7,14.8,35.708333333333336
231,22.3,28.6,20.3,86,13.21,6.9,8.1,11.1,43.583333333333336
232,23.6,27,20.3,78,3.3,6.9,7,9.4,46.041666666666664
233,,,,,,,,,28.75
234,,,,,,,,,70.54166666666667
235,,,,,,,,,58.541666666666664
236,22.8,26.8,20.5,86,31.75,4.8,6.3,9.4,82.875
237,23.8,28,20.8,77,0,6.9,9.1,11.1,64.91666666666667
238,22.3,28.5,21,89,0.25,4.8,7.6,14.8,30.666666666666668
239,,,,,,,,,31.75
240,,,,,,,,,41.041666666666664
241,,,,,,,,,45.25
242,24.9,29,20.5,73,-,6.4,4.8,9.4,34.416666666666664
243,23.7,30.6,19.8,84,71.88,6.3,4.1,7.6,33.166666666666664
244,22.6,27.8,20.8,92,33.02,4.8,1.9,5.4,30.625
245,23.2,27.3,19.9,87,21.84,5.5,3.7,7.6,30.333333333333332
246,,,,,,,,,31.75
247,,,,,,,,,34.208333333333336
248,,,,,,,,,11.625
249,24.1,28.5,21.3,83,6.6,6.3,1.9,3.5,0.0
250,23.9,30,20.5,82,1.27,6.3,2,11.1,0.0
251,23.6,28.2,20,82,68.33,6.8,2,5.4,0.0
252,,,,,,,,,0.0
253,,,,,,,,,0.0
254,,,,,,,,,26.166666666666668
255,25.3,31,22.2,72,0,6.9,4.6,7.6,76.875
256,24.8,30.6,21,75,-,6.9,5.9,11.1,83.45833333333333
257,23.7,31.1,21,78,2.29,6.9,6.3,7.6,71.66666666666667
258,,,,,,,,,65.625
259,,,,,,,,,53.375
260,,,,,,,,,56.083333333333336
261,23.1,27.2,20.4,75,0,6.3,11.7,14.8,69.70833333333333
262,23.2,27.7,19.4,68,0,6.9,10.9,18.3,62.375
263,22.8,28.5,19.3,80,0,6.3,10,14.8,24.875
264,,,,,,,,,37.333333333333336
265,,,,,,,,,50.125
266,,,,,,,,,46.541666666666664
267,22.8,29,19.4,81,54.36,6.3,3.3,5.4,43.958333333333336
268,23.8,27.2,20.6,78,9.14,6.9,3.9,9.4,41.5
269,21.9,28.1,20,91,55.88,5.5,4.1,7.6,38.791666666666664
270,,,,,,,,,48.916666666666664
271,,,,,,,,,76.91666666666667
272,,,,,,,,,34.458333333333336
273,23.1,27.4,20.7,85,0.51,6.3,4.3,7.6,30.333333333333332
274,23.3,28.4,19.4,82,45.97,6.3,3.1,5.4,26.666666666666668
275,24.9,28,20.6,74,0,6.9,4.3,7.6,29.0
276,,,,,,,,,34.25
277,,,,,,,,,62.708333333333336
278,,,,,,,,,65.08333333333333
279,23.7,29,21.2,84,14.48,5.5,1.1,5.4,61.708333333333336
280,24.6,28.8,21.3,80,48.01,6.9,3,7.6,60.541666666666664
281,24.8,29,21.5,80,2.03,6.6,3.1,37,41.583333333333336
282,,,,,,,,,50.916666666666664
283,,,,,,,,,40.958333333333336
284,,,,,,,,,60.666666666666664
285,22.9,27.5,20.5,87,68.07,5.3,2.4,5.4,80.04166666666667
286,22.1,27.6,19.8,93,34.04,3.7,1.9,9.4,82.83333333333333
287,22.3,25.6,19.6,85,40.39,5.3,6.5,7.6,95.25
288,,,,,,,,,115.83333333333333
289,,,,,,,,,149.66666666666666
290,,,,,,,,,145.58333333333334
291,23.7,29,20.1,67,0,6,1.3,3.5,126.16666666666667
292,24.4,29.8,20.4,67,0,6.3,3.1,7.6,136.70833333333334
293,24.8,30.6,20.4,66,0,6.3,3.1,7.6,160.66666666666666
294,,,,,,,,,173.58333333333334
295,,,,,,,,,168.625
296,,,,,,,,,174.66666666666666
297,25.2,31.3,20.8,64,0,6.3,2.4,5.4,245.66666666666666
298,23.7,29.6,21,68,0,7.7,2.4,5.4,261.6666666666667
299,23.9,28.8,20.2,68,0,6.9,2,5.4,272.4166666666667
300,,,,,,,,,226.29166666666666
301,,,,,,,,,291.7083333333333
302,,,,,,,,,207.33333333333334
303,22.2,26.7,19.4,71,0,6.9,5.6,7.6,149.625
304,21.7,25,19.9,78,0,6.9,5,7.6,99.70833333333333
305,22.9,26.6,18.8,66,0.25,6.9,3.7,7.6,217.375
306,23.2,27.8,19.3,66,0,6.9,3.1,7.6,309.375
307,,,,,,,,,166.91666666666666
308,,,,,,,,,429.1666666666667
309,,,,,,,,,332.4583333333333
310,21.5,25.6,19.2,87,1.52,6.9,3,5.4,321.5416666666667
311,22,26,18.3,80,13.46,6.9,2.2,7.6,278.0
312,22.5,27.2,18.6,64,0,6.3,3.9,5.4,192.33333333333334
313,,,,,,,,,235.33333333333334
314,,,,,,,,,153.29166666666666
315,,,,,,,,,171.54166666666666
316,23.6,28.2,19.3,65,0,6.3,4.1,7.6,224.16666666666666
317,23.5,29.1,19.4,74,0,6.9,0.9,5.4,196.75
318,24.4,28.7,21,74,0,6.3,2,7.6,221.54166666666666
319,,,,,,,,,210.54166666666666
320,,,,,,,,,251.20833333333334
321,,,,,,,,,172.83333333333334
322,24.1,30,20.5,71,0,6.3,2.8,5.4,166.70833333333334
323,24.2,29,20.7,70,0,6.3,3.5,5.4,130.70833333333334
324,23.8,29.6,20.2,70,0,6.3,3.9,5.4,194.70833333333334
325,,,,,,,,,250.875
326,,,,,,,,,274.875
327,,,,,,,,,207.91666666666666
328,22.7,30,18.6,65,0,5.8,5,7.6,134.45833333333334
329,22.2,28,17.4,76,0,6,4.1,5.4,110.0
330,22.4,26.8,19.2,78,0,6,5,11.1,160.0
331,,,,,,,,,217.91666666666666
332,,,,,,,,,184.20833333333334
333,,,,,,,,,130.91666666666666
334,19.8,24.7,19,95,10.67,4,7,9.4,118.91666666666667
335,19.8,21.6,18.2,88,8.89,4.8,7,9.4,176.375
336,20.8,23.6,18.3,82,0,6.9,4.6,9.4,185.95833333333334
337,,,,,,,,,195.375
338,,,,,,,,,151.04166666666666
339,,,,,,,,,170.875
340,22.8,29.2,18.5,63,0,6.3,3.1,7.6,239.125
341,22.6,29.7,15.9,47,0,6.3,0.7,5.4,365.2916666666667
342,22.6,30.8,16.8,55,0,6.8,0,-,312.2083333333333
343,,,,,,,,,237.625
344,,,,,,,,,179.33333333333334
345,,,,,,,,,122.54166666666667
346,22.7,28.1,19.6,72,0,4.2,1.1,5.4,121.33333333333333
347,22.6,28.5,18.4,63,0,6,4.6,9.4,202.875
348,22.2,29.3,17.1,66,0,6,5.7,7.6,260.1666666666667
349,,,,,,,,,403.9583333333333
350,,,,,,,,,455.5833333333333
351,,,,,,,,,382.7083333333333
352,21,26,15.3,63,0,6.3,6.7,9.4,277.7083333333333
353,22.1,28,17.2,58,0,6.3,3.1,5.4,284.1666666666667
354,22,28.8,16,56,0,6.3,4.3,7.6,288.4166666666667
355,,,,,,,,,256.8333333333333
356,,,,,,,,,175.75
357,,,,,,,,,180.79166666666666
358,20.4,28.5,16.6,72,0,6,0.9,3.5,166.91666666666666
359,21.6,28,16.2,57,0,6.3,4.8,7.6,169.0
360,20.6,29.2,15.5,57,0,5.8,4.6,5.4,186.04166666666666
361,,,,,,,,,185.58333333333334
362,,,,,,,,,114.08333333333333
363,,,,,,,,,140.45833333333334
364,-,-,-,-,-,-,-,-,108.08333333333333
